id,name,edible_conversion_factor,energy_kj,energy_kcal,water_g,protein_g,fat_g,carbs_available_g,fiber_g,ash_g,calcium_mg,iron_mg,magnesium_mg,potassium_mg,sodium_mg,zinc_mg,selenium_mcg,retinol_mcg,beta_carotene_eq_mcg,thiamin_mg,riboflavin_mg,niacin_mg,food_folate_mcg,vit_b12_mcg,vit_c_mg,cholesterol_mg,food_group
3047,"Cowpeas, dry, water-soaked, boiled in different water, drained (without salt)",1,495.0,117.0,67.1,9.5,0.4,16.2,5.4,1.4,37,1.9,103,389,8,1.14,0,0,7,0.22,0.04,0.6,82,0,0,0.0,LEGUMES AND PULSES
3048,"Cowpeas, dry, water-soaked, boiled in different water (without salt, water not discarded)",1,299.0,71.0,80.1,5.7,0.3,9.8,3.2,0.8,27,1.4,74,313,7,0.76,0,0,4,0.16,0.03,0.4,60,0,0,0.0,LEGUMES AND PULSES
3012,"Cowpeas, fresh, raw",1,526.0,125.0,63.8,4.6,0.6,21.5,8,1.7,200,1.7,81,685,6,1.61,4,0,0,0.14,0.1,2.3,267,0,4,0.0,LEGUMES AND PULSES
3049,"Cowpeas, fresh, boiled, drained (without salt)",1,554.0,132.0,61.8,4.8,0.6,22.6,8.4,1.8,200,1.4,51,361,5,1.27,3,0,0,0.1,0.07,1.6,141,0,3,0.0,LEGUMES AND PULSES
3013,"Flour, soya, full fat",1,1830.0,437.0,7,37,20.2,22,9.41,4.37,200,6.25,421,2470,12.7,3.84,7,0,71,0.8,0.3,4.2,338,0,0,0.0,LEGUMES AND PULSES
3014,"Flour, soya, low fat",1,1510.0,361.0,7,45,8.68,17.8,15.6,5.9,240,9.1,278,2040,9,4,57,0,23,0.8,0.4,2.9,282,0,0,0.0,LEGUMES AND PULSES
3015,"Garden peas, fresh, raw",0.41,392.0,93.0,72.5,7.9,0.7,9.8,8,1,28.2,2.63,30.15,249,3.66,4.65,2,0,363,0.29,0.13,2.3,216,0,38.4,0.0,LEGUMES AND PULSES
3050,"Garden peas, fresh, boiled, drained (without salt)",0,413.0,98.0,71.1,8.3,0.7,10.4,8.5,1.1,28,2.1,19,131,3,3.67,2,0,343,0.2,0.09,1.6,113,0,26.3,0.0,LEGUMES AND PULSES
3016,"Garden peas, dry, raw",1,1370.0,324.0,10.3,20.4,1.9,47.8,17,2.5,58,4.8,117,933,17,3.21,50,0,64,0.88,0.17,2.6,[110],0,5,0.0,LEGUMES AND PULSES
3051,"Garden peas, dry, unsoaked, boiled, drained (without salt)",1,506.0,120.0,66.8,7.6,0.7,17.7,6.3,1,20,1.5,38,259,7,1.07,19,0,24,0.21,0.05,0.6,20,0,1,0.0,LEGUMES AND PULSES
3052,"Garden peas, unsoaked, boiled (without salt, water not discarded)",1,321.0,76.0,78.9,4.8,0.4,11.2,4,0.6,16,1.1,28,220,6,0.75,12,0,15,0.17,0.04,0.5,16,0,1,0.0,LEGUMES AND PULSES
3053,"Garden peas, dry, water-soaked, boiled in different water, drained (without salt)",1,506.0,120.0,66.8,7.6,0.7,17.7,6.3,1,20,1.5,38,259,7,1.07,19,0,24,0.21,0.05,0.6,20,0,1,0.0,LEGUMES AND PULSES
3054,"Garden peas, dry, water-soaked, boiled in different water (without salt, water not discarded)",1,321.0,76.0,78.9,4.8,0.4,11.2,4,0.6,16,1.1,28,220,6,0.75,12,0,15,0.17,0.04,0.5,16,0,1,0.0,LEGUMES AND PULSES
3017,"Gram, black, dry, raw",1,1330.0,316.0,11.4,24.6,1.7,42.5,16.3,3.51,84,6,113,718,14,2.33,43,0,140,0.31,0.11,1.8,346,0,3,0.0,LEGUMES AND PULSES
3055,"Gram, black, dry, unsoaked, boiled, drained (without salt)",1,433.0,103.0,71.2,8,0.6,13.8,5.3,1.2,25,1.6,32,175,5,0.68,14,0,46,0.07,0.03,0.4,56,0,1,0.0,LEGUMES AND PULSES
3056,"Gram, black, dry, unsoaked, boiled (without salt, water not discarded)",1,290.0,69.0,80.7,5.3,0.4,9.2,3.5,0.8,20,1.3,25,157,5,0.51,9,0,31,0.05,0.02,0.3,45,0,0,0.0,LEGUMES AND PULSES
